,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
61316,HYUNDAI,IX35,Sloten,87.0,20.39080459770115,22.924888612944358
61398,FORD,GRAND C-MAX,Anders,47.0,25.97872340425532,28.53245903660374
61405,MITSUBISHI,SPACE STAR,Carrosserie,124.0,21.129032258064516,23.495796624055085
61411,VOLVO,XC70,Sleutel in voertuig,50.0,24.96,27.529635088839644
61446,DACIA,DOKKER / EXPRESS,Accu,100.0,13.85,15.271007165230479
61447,DACIA,DOKKER / EXPRESS,Afgeslagen tijdens rijden,27.0,23.40740740740741,26.012887332685214
61457,DAIHATSU,CUORE,Carrosserie,421.0,19.18527315914489,21.01220777991954
61483,DAIHATSU,CUORE,Sloten,159.0,17.10062893081761,19.404428452885263
61484,DAIHATSU,CUORE,Stottert / verliest vermogen,206.0,25.271844660194176,27.356600568849654
61496,MAZDA,DEMIO,Bijgeluiden,107.0,25.69158878504673,28.13848420861825
61940,SEAT,IBIZA,Koppeling,950.0,24.64842105263158,27.15673134669553
61946,VOLKSWAGEN,TOURAN,Sloten,384.0,21.0078125,23.417156783490235
61950,VOLVO,V90,Ruitenwisser / motor,83.0,26.40963855421687,29.312867678422265
61964,SEAT,TOLEDO,Koelprobleem,71.0,22.154929577464788,24.426773243268205
61979,RENAULT,TRAFIC,Start niet,186.0,22.827956989247312,25.257033255707974
61981,VOLVO,C70,Raammechaniek,26.0,27.46153846153846,30.101958008620965
61985,FORD,FIESTA,Sleutel verloren / gestolen,55.0,17.69090909090909,19.41786998780107
62096,HYUNDAI,XG,Start niet,113.0,17.876106194690266,19.777717291354953
62126,RENAULT,KANGOO,Koppeling,126.0,19.634920634920636,21.57103456309148
62137,AUDI,Q5,Lekke band - geen reserve,302.0,21.195364238410598,23.13364630988944
62139,JAGUAR,X-TYPE,Lekke band,199.0,17.939698492462313,19.551631140428917
62140,JAGUAR,X-TYPE,Koelprobleem,118.0,30.322033898305083,32.97133579154269
